Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Country.of.Origin,Variety,Processing.Method,Total.Cup.Points,GMM_Cluster,Hierarchical_Cluster,Spectral_Cluster,GMM_Max_Probability
8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,Mexico,Other,Washed / Wet,87.17,0,1,1,0.9998377606324004
8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,United States,Other,Washed / Wet,87.08,0,1,1,0.9999956675874242
8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,Ethiopia,Unknown,Natural / Dry,87.08,0,1,1,0.9999977664943585
8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,Brazil,Bourbon,Natural / Dry,86.92,0,1,1,0.9999997675933002
7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,Ethiopia,Unknown,Unknown,86.92,0,1,1,0.9999084110890363
8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,Uganda,SL14,Washed / Wet,86.83,0,1,1,0.99997179517816
8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,Honduras,Caturra,Unknown,86.67,0,1,1,0.9970127858208945
8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,Taiwan,Sumatra,Pulped natural / honey,86.58,0,1,1,0.9969082374860603
7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,Nicaragua,Unknown,Unknown,86.58,0,1,1,0.9997525071262865
8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,"Tanzania, United Republic Of",Unknown,Natural / Dry,86.5,0,1,1,0.9998665186997265
8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,Brazil,Bourbon,Natural / Dry,86.42,0,1,1,0.9998339653441419
8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,Costa Rica,Caturra,Washed / Wet,86.33,0,1,1,0.866963477012442
8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,Ethiopia,Unknown,Natural / Dry,86.25,0,1,1,0.9649729205514168
8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,Kenya,SL34,Washed / Wet,86.25,0,1,1,0.979894081778716
8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,86.25,0,1,1,0.9151314604479988
8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,United States (Hawaii),Unknown,Unknown,86.25,0,1,1,0.999212985372996
7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,Ethiopia,Unknown,Unknown,86.25,0,1,1,0.9723101323698621
7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,United States,Other,Washed / Wet,86.17,0,1,1,0.9907669247142289
7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,Thailand,Caturra,Washed / Wet,86.17,0,1,1,0.980251438964277
8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,Brazil,Yellow Bourbon,Unknown,86.17,0,1,1,0.9894777683800348
8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,Brazil,Yellow Bourbon,Unknown,86.17,0,1,1,0.9874014017264985
8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,Taiwan,Bourbon,Semi-washed / Semi-pulped,86.08,0,1,1,0.7017257517202296
8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,Kenya,SL28,Natural / Dry,86.08,0,1,1,0.9492786916190433
8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,Brazil,Bourbon,Semi-washed / Semi-pulped,86.08,0,1,1,0.9833005119642098
8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,Uganda,Unknown,Semi-washed / Semi-pulped,86.0,0,1,1,0.8385501656592956
7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,Colombia,Caturra,Washed / Wet,86.0,0,1,1,0.8171409278384631
7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,Kenya,SL28,Washed / Wet,86.0,0,1,1,0.9963775479446679
8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,Uganda,Other,Washed / Wet,86.0,0,1,1,0.9583940691426998
7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,Ethiopia,Unknown,Unknown,86.0,0,1,1,0.9798187770787834
8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,United States (Hawaii),Unknown,Unknown,86.0,0,1,1,0.9560598909759317
7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,Guatemala,Bourbon,Washed / Wet,85.92,0,1,1,0.8644563007553754
8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,Uganda,SL14,Natural / Dry,85.92,0,1,1,0.9485401358062192
8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,Colombia,Caturra,Washed / Wet,85.92,0,1,1,0.9142285557901215
8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,Panama,Gesha,Washed / Wet,85.83,0,1,1,0.6871479282245281
7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,Ethiopia,Unknown,Washed / Wet,85.83,0,1,1,0.7619504759139739
7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,Guatemala,Bourbon,Washed / Wet,85.83,0,1,1,0.803390388025603
8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,Guatemala,Catuai,Washed / Wet,85.83,0,1,1,0.8694457756652622
7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,Ethiopia,Caturra,Natural / Dry,85.75,0,1,1,0.6246681857370101
8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,Peru,Unknown,Washed / Wet,85.75,0,1,1,0.6880507021397306
8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,Papua New Guinea,Unknown,Washed / Wet,85.75,0,1,1,0.9999997921359933
7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,El Salvador,Bourbon,Washed / Wet,85.58,0,1,1,0.5963674337594947
7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,El Salvador,Bourbon,Semi-washed / Semi-pulped,85.58,0,1,1,0.6570254989865046
7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,85.58,1,1,1,0.5667933983438338
8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,Panama,Caturra,Natural / Dry,85.5,0,1,1,0.9724599020061251
7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,Kenya,SL28,Natural / Dry,85.5,1,1,1,0.8247756898164097
7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,Ethiopia,Other,Natural / Dry,85.5,1,1,1,0.7971806604666839
8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,Uganda,SL14,Washed / Wet,85.5,0,1,1,0.5065633604868284
8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,Guatemala,Bourbon,Washed / Wet,85.5,0,1,1,0.7051846148915765
7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,Ethiopia,Unknown,Washed / Wet,85.42,1,1,1,0.8663573180180776
8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,Uganda,SL14,Washed / Wet,85.42,1,1,1,0.7551474072623657
7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,85.42,1,1,1,0.9699887691776485
8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,Brazil,Bourbon,Semi-washed / Semi-pulped,85.42,1,1,1,0.6932548115000304
8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,El Salvador,Unknown,Unknown,85.42,1,1,1,0.7955316580679384
8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,China,Catimor,Natural / Dry,85.33,1,1,1,0.7859525363112856
7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,Guatemala,Pacamara,Natural / Dry,85.33,0,1,1,0.9364575331696011
7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,Costa Rica,Caturra,Washed / Wet,85.33,0,1,1,0.9097041443249464
8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,Costa Rica,Caturra,Washed / Wet,85.33,0,1,1,0.9440267785588938
7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,Kenya,SL34,Washed / Wet,85.33,1,1,1,0.7777329745181943
8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,Kenya,SL34,Washed / Wet,85.33,1,1,1,0.7444104036503009
7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,10.0,Ethiopia,Unknown,Unknown,85.33,1,1,1,0.9317331147578176
7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,10.0,Ethiopia,Typica,Unknown,85.33,1,1,1,0.7009573932052069
8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,10.0,Guatemala,Bourbon,Unknown,85.25,1,1,1,0.8871809667965819
8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,Colombia,Caturra,Washed / Wet,85.25,1,1,1,0.7583691550829115
7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,Colombia,Caturra,Natural / Dry,85.25,1,1,1,0.6880097331278131
7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,Indonesia,Sumatra Lintong,Semi-washed / Semi-pulped,85.17,1,1,1,0.9471452385326451
8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,Guatemala,Caturra,Washed / Wet,85.17,1,1,1,0.7445921435147983
7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,Ethiopia,Other,Natural / Dry,85.08,1,1,1,0.8995426996931466
8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,Colombia,Caturra,Natural / Dry,85.08,1,1,1,0.6684793159890687
8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,Ethiopia,Unknown,Natural / Dry,85.08,0,1,1,0.9634954364168691
7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,85.08,1,1,1,0.8881526622145777
7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,Colombia,Caturra,Natural / Dry,85.08,1,1,1,0.9839527836102664
8.08,8.17,7.92,8.0,8.08,8.0,9.33,9.33,10.0,United States (Hawaii),Unknown,Unknown,85.08,0,1,1,0.9876795054292048
7.67,8.0,7.83,8.0,7.92,7.83,10.0,10.0,10.0,Ethiopia,Unknown,Unknown,85.08,1,1,1,0.9089912617657915
7.5,7.92,8.25,7.83,7.92,7.75,10.0,10.0,10.0,United States (Hawaii),Unknown,Unknown,85.08,0,1,1,0.6166164356742851
8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,Uganda,SL14,Washed / Wet,85.0,1,1,1,0.9541019332771264
8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,Colombia,Caturra,Washed / Wet,85.0,1,1,1,0.967480186972467
7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,Costa Rica,Catuai,Washed / Wet,85.0,1,1,1,0.9698324429399638
7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,Mexico,Typica,Washed / Wet,85.0,1,1,1,0.98466405142244
8.17,7.83,7.92,7.75,7.67,7.83,10.0,10.0,10.0,Kenya,Unknown,Washed / Wet,85.0,1,1,1,0.8979364779208683
7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,10.0,Kenya,SL34,Washed / Wet,85.0,1,1,1,0.9469529658107684
8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,Brazil,Mundo Novo,Natural / Dry,85.0,1,1,1,0.966615254922439
7.92,8.17,7.75,8.08,7.42,7.83,10.0,10.0,10.0,Mexico,Pacamara,Unknown,85.0,1,1,1,0.5825477300760011
7.75,7.92,7.75,7.75,8.0,8.0,10.0,10.0,10.0,United States (Hawaii),Unknown,Unknown,85.0,1,1,1,0.9515828179195396
7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,10.0,Guatemala,Unknown,Unknown,85.0,1,1,1,0.9606799710526992
7.92,7.92,7.67,7.83,7.92,7.83,10.0,10.0,10.0,Colombia,Caturra,Washed / Wet,84.92,1,1,1,0.979791894215181
7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,Colombia,Caturra,Washed / Wet,84.92,1,1,1,0.9811268003828958
7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,10.0,Taiwan,Typica,Semi-washed / Semi-pulped,84.92,1,1,1,0.9229601688656109
8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,10.0,"Tanzania, United Republic Of",Other,Washed / Wet,84.92,1,1,1,0.9769427729258756
7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,Colombia,Caturra,Washed / Wet,84.92,1,1,1,0.9802114019583396
7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,10.0,Mexico,Typica,Semi-washed / Semi-pulped,84.92,1,1,1,0.9848304111640359
8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,Brazil,Bourbon,Natural / Dry,84.92,1,1,1,0.952157690261477
8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,10.0,Brazil,Catuai,Natural / Dry,84.92,1,1,1,0.9379552284323797
8.0,7.67,7.83,8.17,7.92,7.75,10.0,10.0,10.0,Kenya,Unknown,Unknown,84.92,1,1,1,0.8108288491032813
7.92,7.58,7.83,7.83,7.83,7.83,10.0,10.0,10.0,Taiwan,Typica,Natural / Dry,84.83,1,1,1,0.9909543998445279
7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,10.0,Uganda,SL14,Natural / Dry,84.83,1,1,1,0.8927699900478973
7.67,7.75,7.75,7.75,7.83,8.0,10.0,10.0,10.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,84.83,1,1,1,0.9936294867317708
7.75,7.92,7.83,7.92,7.75,7.67,10.0,10.0,10.0,Ethiopia,Unknown,Unknown,84.83,1,1,1,0.9897817557291572
7.42,7.92,7.92,8.0,7.83,7.83,10.0,10.0,10.0,Ethiopia,Unknown,Unknown,84.83,1,1,1,0.9110828035507103
7.75,7.75,7.75,7.75,8.0,7.75,10.0,10.0,10.0,Thailand,Caturra,Pulped natural / honey,84.75,1,1,1,0.9938015675428093
7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,10.0,Kenya,SL34,Washed / Wet,84.75,1,1,1,0.9934690004145
7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,10.0,Honduras,Catuai,Washed / Wet,84.75,1,1,1,0.9923037572090657
7.75,8.0,8.0,8.33,7.67,7.92,10.0,10.0,9.33,El Salvador,Unknown,Unknown,84.75,0,1,1,0.8824042485586254
7.83,7.58,7.58,7.83,7.75,7.67,10.0,10.0,10.0,Nicaragua,Unknown,Unknown,84.75,1,1,1,0.9989991610184833
7.83,7.83,7.5,8.0,7.83,7.67,10.0,10.0,10.0,El Salvador,Bourbon,Washed / Wet,84.67,1,1,1,0.9941248887403482
7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,Indonesia,Java,Washed / Wet,84.67,1,1,1,0.9956938560758556
7.75,7.75,7.75,7.42,8.08,7.83,10.0,10.0,10.0,Japan,Mundo Novo,Pulped natural / honey,84.67,1,1,1,0.9818943934477636
8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,10.0,Costa Rica,Catuai,Washed / Wet,84.67,1,1,1,0.9845982157298909
7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,10.0,Guatemala,Bourbon,Washed / Wet,84.67,1,1,1,0.9905602483542845
8.17,8.0,7.83,7.17,7.83,7.75,10.0,10.0,10.0,Costa Rica,Caturra,Washed / Wet,84.67,0,1,1,0.5234910395792687
8.08,7.83,7.75,7.83,7.58,7.67,10.0,10.0,10.0,Ethiopia,Ethiopian Yirgacheffe,Washed / Wet,84.67,1,1,1,0.988170535039645
7.67,7.58,7.75,7.75,7.67,8.58,10.0,10.0,10.0,Costa Rica,Other,Other,84.67,0,1,1,0.7791175225822071
8.0,7.58,7.83,7.75,7.75,7.75,10.0,10.0,10.0,Costa Rica,Catuai,Washed / Wet,84.67,1,1,1,0.9935014235369063
8.08,7.83,7.75,7.83,7.92,8.0,10.0,10.0,9.33,Costa Rica,Unknown,Washed / Wet,84.67,1,1,1,0.8768946688699318
8.0,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,Taiwan,Typica,Washed / Wet,84.67,1,1,1,0.9875930105597489
7.75,7.83,7.75,7.83,7.75,7.83,10.0,10.0,10.0,Colombia,Caturra,Washed / Wet,84.67,1,1,1,0.996274628525311
7.75,7.92,7.83,8.0,7.58,7.75,10.0,10.0,10.0,Kenya,SL28,Washed / Wet,84.67,1,1,1,0.9846628595656832
8.0,7.83,7.67,7.83,7.67,8.0,10.0,10.0,10.0,Guatemala,Bourbon,Washed / Wet,84.67,1,1,1,0.9812504263563459
7.67,7.83,7.67,8.0,7.67,7.83,10.0,10.0,10.0,Guatemala,Bourbon,Washed / Wet,84.67,1,1,1,0.9949481610595223
7.83,7.58,7.67,7.92,7.92,7.83,10.0,10.0,10.0,Mexico,Typica,Washed / Wet,84.67,1,1,1,0.9932332938869131
7.92,7.83,7.75,7.92,7.67,7.75,10.0,10.0,10.0,Uganda,Other,Washed / Wet,84.67,1,1,1,0.9927865533599443
7.67,7.83,7.75,7.75,7.92,7.83,10.0,10.0,10.0,Peru,Unknown,Unknown,84.67,1,1,1,0.994339231845792
7.42,7.75,7.75,8.0,8.0,7.92,10.0,10.0,10.0,Ethiopia,Unknown,Unknown,84.67,1,1,1,0.9438720196711228
7.92,7.75,7.83,7.75,7.58,7.92,10.0,10.0,10.0,Kenya,SL34,Washed / Wet,84.58,1,1,1,0.9923676113203953
7.83,7.67,7.58,7.92,7.67,7.83,10.0,10.0,10.0,Colombia,Other,Washed / Wet,84.58,1,1,1,0.9979297657909322
7.92,7.83,7.58,8.0,7.83,7.67,10.0,10.0,10.0,Colombia,Caturra,Washed / Wet,84.58,1,1,1,0.9902924054733685
7.83,7.83,7.83,7.75,7.58,7.83,10.0,10.0,10.0,Kenya,Peaberry,Washed / Wet,84.58,1,1,1,0.9955515793897582
7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,10.0,Guatemala,Pacas,Washed / Wet,84.58,1,1,1,0.9958601673035021
8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,10.0,Guatemala,Bourbon,Washed / Wet,84.58,1,1,1,0.9951578630308862
7.67,7.67,7.58,7.75,7.58,8.5,10.0,10.0,10.0,Colombia,Caturra,Washed / Wet,84.58,1,1,1,0.6579986920213015
7.75,7.75,7.83,7.75,7.58,8.0,10.0,10.0,10.0,Colombia,Caturra,Washed / Wet,84.58,1,1,1,0.9935957810888435
7.75,7.75,7.75,8.08,7.75,7.75,10.0,10.0,10.0,Kenya,SL28,Washed / Wet,84.58,1,1,1,0.9900591506835424
7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,10.0,Colombia,Caturra,Washed / Wet,84.58,1,1,1,0.9839631930210572
7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,10.0,Costa Rica,Bourbon,Semi-washed / Semi-pulped,84.58,1,1,1,0.991395803633841
7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,10.0,Colombia,Caturra,Washed / Wet,84.58,1,1,1,0.9818227975215056
8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,10.0,Brazil,Bourbon,Semi-washed / Semi-pulped,84.58,1,1,1,0.9821814445020259
8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,10.0,Brazil,Catuai,Semi-washed / Semi-pulped,84.58,0,1,1,0.8648726309177642
7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,10.0,Costa Rica,Caturra,Washed / Wet,84.5,1,1,1,0.9947052052535985
7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,Uganda,SL14,Washed / Wet,84.5,1,1,1,0.9969760629955802
7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,10.0,China,Catimor,Washed / Wet,84.5,1,1,1,0.9970236825313108
7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,10.0,Costa Rica,Caturra,Washed / Wet,84.5,1,1,1,0.9944213704882612
8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,10.0,Colombia,Other,Washed / Wet,84.5,1,1,1,0.9880569732695376
7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,10.0,China,Other,Washed / Wet,84.5,1,1,1,0.9933995486254565
8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,10.0,Guatemala,Bourbon,Washed / Wet,84.5,1,1,1,0.9668328990671551
7.92,7.83,7.67,8.0,7.67,7.75,10.0,10.0,10.0,Kenya,SL28,Washed / Wet,84.5,1,1,1,0.9913727960693774
8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,10.0,Mexico,Typica,Washed / Wet,84.5,1,1,1,0.9694189003155496
7.92,7.83,7.75,7.75,7.75,7.83,10.0,10.0,10.0,Mexico,Typica,Washed / Wet,84.5,1,1,1,0.9943548679781262
7.67,8.0,7.67,8.0,7.5,7.83,10.0,10.0,10.0,Guatemala,Bourbon,Washed / Wet,84.5,1,1,1,0.983924138625155
7.81,7.81,7.88,7.75,7.38,8.25,9.5,10.0,10.0,Brazil,Unknown,Unknown,84.5,1,1,1,0.8279809541371431
8.17,7.67,7.75,7.75,7.67,7.75,10.0,10.0,10.0,Brazil,Unknown,Unknown,84.5,1,1,1,0.9837311063894331
7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,10.0,Costa Rica,Caturra,Washed / Wet,84.42,1,1,1,0.9929577857923851
7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,10.0,Indonesia,Mandheling,Other,84.42,1,1,1,0.9973132437635303
7.92,7.83,7.75,7.67,7.92,7.67,10.0,10.0,10.0,Colombia,Caturra,Natural / Dry,84.42,1,1,1,0.992916675176058
7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,10.0,Colombia,Caturra,Washed / Wet,84.42,1,1,1,0.9962935104727438
7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,10.0,Taiwan,Typica,Washed / Wet,84.42,1,1,1,0.9922397836610845
7.92,7.92,7.5,7.83,7.5,7.92,10.0,10.0,10.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,84.42,1,1,1,0.9914631024951516
7.75,7.92,7.75,7.67,7.83,7.67,10.0,10.0,10.0,Mexico,Pacamara,Washed / Wet,84.42,1,1,1,0.9962632977139687
7.5,7.75,7.83,7.92,7.92,7.75,10.0,10.0,10.0,Ethiopia,Unknown,Unknown,84.42,1,1,1,0.9883192120495669
7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,10.0,Kenya,SL28,Washed / Wet,84.33,1,1,1,0.9914317196911215
7.92,8.0,7.75,7.67,7.67,7.75,10.0,10.0,10.0,Honduras,Caturra,Unknown,84.33,1,1,1,0.9901808216186986
7.58,7.75,7.5,7.83,7.67,8.5,10.0,10.0,10.0,Colombia,Caturra,Washed / Wet,84.33,1,1,1,0.5442788101535703
7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,10.0,Honduras,Catuai,Washed / Wet,84.33,1,1,1,0.9957182017561633
7.67,7.67,7.75,7.83,7.75,7.83,10.0,10.0,10.0,Colombia,Unknown,Unknown,84.33,1,1,1,0.9980480662569367
7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,10.0,Colombia,Caturra,Natural / Dry,84.33,1,1,1,0.9306697653504444
7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,10.0,Colombia,Caturra,Washed / Wet,84.33,1,1,1,0.9946296739050472
8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,10.0,Mexico,Typica,Washed / Wet,84.33,1,1,1,0.9952474690098767
